Index,Index,Year,Title,Authors,Abstract,Topics,Predict
0,0,2015.0,Analysis of key technologies in the Internet of things,"Wang, R; Wang, JG; Wang, N","It is known as the third wave of the information industry after the personal computer and the Internet technology. IOT is an important breakthrough in the new century. On the basis of analyzing the system structure and technical characteristics of the Internet of things, the key technology of the Internet of things is deeply studied. The radio frequency identification technology(RFID), sensor technology, network communication technology and cloud computing are analyzed in detail. Finally, it illustrates the wide application prospect of the Internet of things.",2,1
1,1,2021.0,Recent Advances in the Internet-of-Medical-Things (IoMT) Systems Security,"Ghubaish, A; Salman, T; Zolanvari, M; Unal, D; Al-Ali, A; Jain, R","The rapid evolutions in microcomputing, mini-hardware manufacturing, and machine-to-machine (M2M) communications have enabled novel Internet-of-Things (IoT) solutions to reshape many networking applications. Healthcare systems are among these applications that have been revolutionized with IoT, introducing an IoT branch known as the Internet-of-Medical Things (IoMT) systems. IoMT systems allow remote monitoring of patients with chronic diseases. Thus, it can provide timely patients' diagnostic that can save their life in case of emergencies. However, security in these critical systems is a major challenge facing their wide utilization. In this article, we present state-of-the-art techniques to secure IoMT systems' data during collection, transmission, and storage. We comprehensively overview IoMT systems' potential attacks, including physical and network attacks. Our findings reveal that most security techniques do not consider various types of attacks. Hence, we propose a security framework that combines several security techniques. The framework covers IoMT security requirements and can mitigate most of its known attacks.",0,1
2,2,2018.0,The Internet of Things: Foundational ethical issues,"Allhoff, F; Henschke, A","This paper surveys foundational ethical issues that attach to the Internet of Things (IoT). In Section 1, we provide an overview of the technology, indicating both current and future applications. Subsequent sections consider particular ethical issues, including: informed consent (Section 2), privacy (Section 3), information security (Section 4), physical safety (Section 5), and trust (Section 6). Section 7 emphasizes that these ethical issues do not exist in isolation, but converge and intersect in myriad ways. And that these issues are not comprehensive, but rather are foundational starting points that stand to be expanded and further elucidated through future research. (C) 2018 The Authors. Published by Elsevier B.V.",4,1
3,3,2017.0,Clustered Data Collection for Internet of Batteryless Things,"Ju, QA; Zhang, Y","Empowered by energy harvesting technology, Internet of Batteryless Things (IoBT) is considered to be a promising solution for the lifetime constraint of Internet of Things. The varying ambient energy source makes it nontrivial for multiple IoBT nodes to work collaboratively and achieve high-throughput data collection. In this paper, we propose a novel clustered data collection framework for IoBT networks, combining cluster head (CH) selection and lexicographic rate assignment. Using the remaining energy level of the energy storage device as the energy budget, the proposed framework assigns a lexicographic optimal rate vector that enables each IoBT node to fully utilize the scavenged energy and at the same time achieve high and fair data collection rate. Two CH selection schemes are developed. One is optimal CH selection by traversing all the possible CH candidates in the cluster. The other is an approximation search based on the inherent energy consumption features of the lexicographic optimal rate assignment. The real world energy harvesting profile is used to validate the effectiveness of the proposed methodology. Compared with the existing strategies, the proposed framework achieves higher throughput over all range of the data aggregation ratio. The simulation results also demonstrate that the approximation-based CH selection scheme has similar data collection rate performance as that of the optimal CH selection scheme at a much lower computational cost.",1,1
4,4,2016.0,Internet of Things based Home Automation System,"Soumya, S; Chavali, M; Gupta, S; Rao, N","The internet has been connecting people and making life simpler by providing all kinds of information with the click of a button. The next big wave in this domain is the internet of things which will enable physical objects used in day to day life to connect to the internet and exchange data. In this paper a home automation system based on internet of things is developed. This allows the user to automate all the devices and appliances of home and integrate them to provide seamless control over every aspect of their home. The designed system not only monitors the sensor data, but also actuates a process according to the requirement, for example switching on the light when it gets dark and it allows the user to control the household devices from anywhere.",1,1
5,5,2012.0,Application of Internet of Things in Smart Grid Power Transmission,"Ou, QH; Zhen, Y; Li, XZ; Zhang, YY; Zeng, LK","Utilizing Internet of Things (IoT) technology in smart grid is an important approach to speed up the informatization of power grid system, and it is beneficial for effective management of the power grid infrastructure. Disaster prevention and reduction of power transmission line is one of the most important application fields of IoT. Advanced sensing and communication technologies of IoT can effectively avoid or reduce the damage of natural disasters to the transmission lines, improve the reliability of power transmission and reduce economic loss. Focused on the characteristic of the construction and development of smart grid, this paper introduced the application of IoT in online monitoring system of power transmission line.",2,1
7,7,2019.0,Knowledge Design in the Internet of Things: Blockchain and Connected Refrigerator,"Szoniecky, S; Toumia, A","The Internet of Things takes place in our daily life, but many users do not understand their relationships and interactions with these objects. We assume that dynamic and interactive representations of the power of action of users and objects are means to better understand what these devices are capable of. To do this, we design a secure and privacy-conscious design of knowledge in the connected object environment. We will analyze the example of a connected refrigerator to understand how to use the Blockchain to develop Digital Social Innovations.",0,1
8,8,2015.0,A Structured Approach for Describing Healthcare Applications for The Internet of Things,"Laplante, PA; Laplante, NL","Applications for the Internet of Things (IoT) in healthcare have been widely forecast, investigated, and even deployed on a small scale. But most of this work is scattered about a few random applications. In this paper we present a structured approach for describing IoTs for healthcare by defining general classes of system types, classifying the healthcare delivery settings, then using a structured approach to describing the elements for a particular use case. We illustrate the approach for three use cases and discuss certain issues that arise. A brief survey of related work is also given. We conclude that for healthcare applications, domain understanding and inter-professional collaboration are critical to developing realistic use cases.",0,1
9,9,2018.0,Computer Vision and Internet of Things: Attention System in Educational Context,"Savov, T; Terzieva, V; Todorova, K","In the contemporary education system, many information and communication technologies (ICT) and their applications already are an essential requisite. The value that they add to the traditional pedagogical practice makes it more engaging, flexible and efficient. Internet of things (IoT) as well as various multimedia and smart technologies enables implementation of more enhanced teaching approaches not only at universities but also at some innovative school classrooms. This research discusses a case study of the integration of computer vision (CV) and IoTs in the education and in particular, how they can support the learning process by making students more engaged. E'iii-ther, this work presents some of the use -eases where the technology gadgets that shape smart learning environment completely benefit both the teaching-leaming process itself and its managing.",0,1
10,10,2015.0,A Multi-Broker Platform for the Internet of Things,"D'Elia, A; Viola, F; Roffia, L; Cinotti, TS","The emerging paradigm of the Internet of Things with millions of devices dynamically interconnected to share data imposes new requirements to applications and infrastructures. New challenges raise in terms of connectivity, resource discovery and support for multidomains distributed applications. Furthermore, the connection parameters of involved devices can dynamically change over the time and must be properly discovered. This paper proposes a multi broker platform (MBP) built on top of an existing interoperability platform, Smart-M3. MBP enables the original platform to manage multi-domain scenarios, it also provides a semantic mechanism for context-broker discovery and a virtualization interface to reach remote nodes.",0,1
11,11,2021.0,A Reliable and Scalable Internet of Military Things Architecture,"Said, O; Tolba, A","Recently, Internet of Things (IoT) technology has provided logistics services to many disciplines such as agriculture, industry, and medicine. Thus, it has become one of the most important scientific research fields. Applying IoT to military domain has many challenges such as fault tolerance and QoS. In this paper, IoT technology is applied on the military field to create an Internet of Military Things (IoMT) system. Here, the architecture of the aforementioned IoMT system is proposed. This architecture consists of four main layers: Communication, information, application, and decision support. These layers provided a fault tolerant coverage communication system for IoMT things. Moreover, it implemented data reduction methods such as filtering, compression, abstraction, and data prioritization queuing system to guarantee QoS for the transmitted data. Furthermore, it used decision support technology and IoMT application unification ideas. Finally, to evaluate the IoMT system, an intensive simulation environment is constructed using the network simulation package, NS3. The simulation results proved that the proposed IoMT system outperformed the traditional military system with regard to the performance metrics, packet loss, end-to-end delay, throughput, energy consumption ratio, and data reduction rate.",3,1
12,12,2021.0,A Brief Review on Internet of Things (IoT),"Gannavaram, VTK; Kandhikonda, UM; Bejgam, R; Keshipeddi, SB; Sunkari, S","Internet of Things (IoT) is the most familiar technology to the modern society that has actually transformed the physical objects into smart things that are enhanced with capabilities like sensing, decision making and computing. The physical world is assisted by the digital world entirely connected to the global network infrastructure, starting the day with smart alarms and ending the day with smart beds. In today's world the modern humans are now more connected to the non-living objects, because Internet has been a common platform for human beings to interact and now, Internet is being a common thing for the physical objects also. With IoT, the tasks to be performed by humans are being made simpler, made humans go at an ease, navigation and assistance is now at the finger tips. Things in the human world are getting automated in a vast manner, extending from industries to homes, workplaces, classrooms, transport systems, medical fields and many. In this paper, a thorough study is presented on the emerging technology i.e. IoT, addressing how the devices are being the tiny building blocks of large applications, scope of IoT enabled applications, advantages, disadvantages, automation process, then and now era of IoT.",3,1
