Index,Title,Abstract,Year,PDF Link,Authors,Source,Predict
0,A Conceptual Model of ICT-Supported Unified Process of International Outsourcing of Software Production,"This is an ongoing research in international outsourcing software production. This research examines how Software production through the ICTsupported unified process of international outsourcing could be executed and managed effectively. To address this research question, the results of an in-depth literature review in the areas of outsourcing, international outsourcing, information technology, and international software production is presented. This study proposes the information communication technologies' (ICT) - supported unified process model of international outsourcing of software production (SUPMIOSP). ICT-SUPMIOSP provides a detailed guideline on how to manage the entire process of international outsourcing by integrating a number of key issues such as relationship and risks management. Both theoretical and practical aspects of ICTSUPMIOSP are presented. At the theoretical level, the model can be used as a basis for further research, while at the practical level, it helps managers and other stakeholders to understand the multiple activities involved in offshore outsourcing, improve, systematize, and execute the ICT-SUPIOSP more effectively and efficiently.",2006,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4031306,Anicet Yalaho,"EDOCW '06: Proceedings of the 10th IEEE on International Enterprise Distributed Object Computing Conference Workshops , October 2006, Publisher: IEEE Computer Society",1
1,A Quantitative Assessment of Requirements Engineering Publications ? 1963?2006,"<p>Requirements engineering research has been conducted for over 40 years. It is important to recognize the plethora of results accumulated to date to: (a) improve researchers' understanding of the historical roots of our field in the real-world and the problems that they are trying to solve, (b) expose researchers to the breadth and depth of solutions that have been proposed, (c) provide a synergistic basis for improving those solutions or building new ones to solve real-world problems facing the industry today, and d) increase practitioner awareness of available solutions. A detailed meta-analysis of the requirements engineering literature will provide an objective overview of the advances and current state of the discipline. This paper represents the first step in a planned multi-year analysis. It presents the results of a demographic analysis by date, type, outlet, author, and author affiliation for an existing database of over 4,000 requirements engineering publications.</p>",2007,http://dl.acm.org/citation.cfm?id=1768914&CFID=932216837&CFTOKEN=18963453,"Alan Davis  , Ann Hickey  , Oscar Dieste  , Natalia Juristo   and Ana Moreno","Book Series Lecture Notes in Computer Science, Volume 4542/2007, Book Requirements Engineering: Foundation for Software Quality, Pages 129-143, SpringerLink Date Thursday, June 28, 2007",1
2,A survey and taxonomy of approaches for mining software repositories in the context of software evolution,"<p>A comprehensive literature survey on approaches for mining software repositories (MSR) in the context of software evolution is presented. In particular, this survey deals with those investigations that examine multiple versions of software artifacts or other temporal information. A taxonomy is derived from the analysis of this literature and presents the work via four dimensions: the type of software repositories mined (what), the purpose (why), the adopted/invented methodology used (how), and the evaluation method (quality). The taxonomy is demonstrated to be expressive (i.e., capable of representing a wide spectrum of MSR investigations) and effective (i.e., facilitates similarities and comparisons of MSR investigations). Lastly, a number of open research issues in MSR that require further investigation are identified.</p>",2007,http://dl.acm.org/citation.cfm?id=1345057&CFID=932209910&CFTOKEN=86972045,"Huzefa Kagdi, Michael L. Collard, Jonathan I. Maletic","Journal of Software Maintenance and Evolution: Research and Practice,   Volume 19 Issue 2, March 2007, Publisher: John Wiley & Sons, Inc.",1
3,An analysis of data sets used to train and validate cost prediction systems,"OBJECTIVE - to build up a picture of the nature and type of data sets being used to develop and evaluate different software project effort prediction systems. We believe this to be important since there is a growing body of published work that seeks to assess different prediction approaches.METHOD - we performed an exhaustive search from 1980 onwards from three software engineering journals for research papers that used project data sets to compare cost prediction systems.RESULTS - this identified a total of 50 papers that used, one or more times, a total of 71 unique project data sets. We observed that some of the better known and easily accessible data sets were used repeatedly making them potentially disproportionately influential. Such data sets also tend to be amongst the oldest with potential problems of obsolescence. We also note that only about 60% of all data sets are in the public domain. Finally, extracting relevant information from research papers has been time consuming due to different styles of presentation and levels of contextural information.CONCLUSIONS - first, the community needs to consider the quality and appropriateness of the data set being utilised; not all data sets are equal. Second, we need to assess the way results are presented in order to facilitate meta-analysis and whether a standard protocol would be appropriate.",2005,http://dl.acm.org/citation.cfm?id=1083166&CFID=932222344&CFTOKEN=20329875,"Carolyn Mair, Martin Shepperd, Magne J?rgensen","PROMISE '05: Proceedings of the 2005 workshop on Predictor models in software engineering, May 2005",1
4,Challenges in Collaborative Modeling: A Literature Review,"Modeling is a key activity in conceptual design and system design. Users as well as stakeholders, experts and entrepreneurs need to be able to create shared understanding about a system representation. In this paper we conducted a literature review to provide an overview of studies in which collaborative modeling efforts have been conducted to give first insights in the challenges of collaborative modeling, specifically with respect to group composition, collaboration & participation methods, modeling methods and quality in collaborative modeling. We found a critical challenge in dealing with the lack of modeling skills, such as having a modeler to support the group, or create the model for the group versus training to empower participants to actively participate in the modeling effort, and another critical challenge in resolving conflicting (parts of) models and integration of submodels or models from different perspectives. The overview of challenges presented in this paper will inspire the design of methods and support systems that will ultimately advance the efficiency and effectiveness of collaborative modeling tasks.",2014,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6846871,"Michiel Renger, Gwendolyn L. Kolfschoten   and Gert-Jan de Vreede","Book Series Lecture Notes in Business Information Processing, Volume 10, Book Advances in Enterprise Engineering I, Pages 61-77, SpringerLink Date Tuesday, June 10, 2008",1
6,Data sets and data quality in software engineering,"OBJECTIVE - to assess the extent and types of techniques used to manage quality within software engineering data sets. We consider this a particularly interesting question in the context of initiatives to promote sharing and secondary analysis of data sets. METHOD - we perform a systematic review of available empirical software engineering studies. RESULTS - only 23 out of the many hundreds of studies assessed, explicitly considered data quality. CONCLUSIONS - first, the community needs to consider the quality and appropriateness of the data set being utilised; not all data sets are equal. Second, we need more research into means of identifying, and ideally repairing, noisy cases. Third, it should become routine to use sensitivity analysis to assess conclusion stability with respect to the assumptions that must be made concerning noise levels.",2005,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1541819,"Gernot A. Liebchen, Martin Shepperd","PROMISE '08: Proceedings of the 4th international workshop on Predictor models in software engineering, May 2008 , Publisher: ACM",1
7,Developing Open Source Software: A Community-Based Analysis of Research,"Open source software (OSS) creates the potential for the inclusion of large and diverse communities in every aspect of the software development and consumption life cycle. However, despite 6 years of effort by an ever growing research community, we still donÂt know exactly what we do and donÂt know about OSS, nor do we have a clear idea about the basis for our knowledge. This paper presents an analysis of 155 research artefacts in the area of open source software. The purpose of the study is to identify the kinds of open source project communities that have been researched, the kinds of research questions that have been asked, and the methodologies used by researchers. Emerging from the study is a clearer understanding of what we do and donÂt know about open source software, and recommendations for future research efforts ",2015,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7449480,"Joseph Feller, Patrick Finnegan, David Kelly and Maurice MacNamara","Book Series IFIP International Federation for Information Processing, Volume 208/2006, Book Social Inclusion: Societal and Organizational Implications for Information Systems, Pages 261-278, SpringerLink Date Wednesday, September 13, 2006",1
8,Effectiveness of Requirements Elicitation Techniques: Empirical Results Derived from a Systematic Review,"This paper reports a systematic review of empirical studies concerning the effectiveness of elicitation techniques, and the subsequent aggregation of empirical evidence gathered from those studies. The most significant results of the aggregation process are as follows: (I) interviews, preferentially structured, appear to be one of the most effective elicitation techniques; (2) many techniques often cited in the literature, like card sorting, ranking or thinking aloud, tend to be less effective than interviews; (3) analyst experience does not appear to be a relevant factor; and (4) the studies conducted have not found the use of intermediate representations during elicitation to have significant positive effects. It should be noted that, as a general rule, the studies from which these results were aggregated have not been replicated, and therefore the above claims cannot be said to be absolutely certain. However, they can be used by researchers as pieces of knowledge to be further investigated and by practitioners in development projects, always taking into account that they are preliminary findings",2006,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1704061,"By Alan Davis , Oscar Dieste , Ann Hickey , Natalia Juristo , Ana M. Moreno","Found in: 14th IEEE International Requirements Engineering Conference (RE'06)
Issue Date:September 2006 , pp. 179-188",1
9,Evidence-Based Guidelines for Assessment of Software Development Cost Uncertainty,"Several studies suggest that uncertainty assessments of software development costs are strongly biased toward overconfidence, i.e., that software cost estimates typically are believed to be more accurate than they really are. This overconfidence may lead to poor project planning. As a means of improving cost uncertainty assessments, we provide evidence-based guidelines for how to assess software development cost uncertainty, based on results from relevant empirical studies. The general guidelines provided are: 1) Do not rely solely on unaided, intuition-based uncertainty assessment processes, 2) do not replace expert judgment with formal uncertainty assessment models, 3) apply structured and explicit judgment-based processes, 4) apply strategies based on an outside view of the project, 5) combine uncertainty assessments from different sources through group work, not through mechanical combination, 6) use motivational mechanisms with care and only if greater effort is likely to lead to improved assessments, and 7) frame the assessment problem to fit the structure of the relevant uncertainty information and the assessment process. These guidelines are preliminary and should be updated in response to new evidence.",2005,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1556553,By Magne Jorgensen,"Found in: IEEE Transactions on Software Engineering 
Issue Date:November 2005 , pp. 942-954",1
10,Experimental context classification: incentives and experience of subjects,"There is a need to identify factors that affect the result of empirical studies in software engineering research. It is still the case that seemingly identical replications of controlled experiments result in different conclusions due to the fact that all factors describing the experiment context are not clearly defined and hence controlled. In this article, a scheme for describing the participants of controlled experiments is proposed and evaluated. It consists of two main factors, the incentives for participants in the experiment and the experience of the participants. The scheme has been evaluated by classifying a set of previously conducted experiments from literature. It can be concluded that the scheme was easy to use and understand. It is also found that experiments that are classified in the same way to a large extent point at the same results, which indicates that the scheme addresses relevant factors.",2005,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1553590,"Martin H?st, Claes Wohlin, Thomas Thelin","ICSE '05: Proceedings of the 27th international conference on Software engineering, May 2005, Publisher: ACM",1
