Index,Title,Abstract,Year,PDF Link,Authors,Source,Predict,Relevant,Objective,Method,Result
0,A Conceptual Model of ICT-Supported Unified Process of International Outsourcing of Software Production,"This is an ongoing research in international outsourcing software production. This research examines how Software production through the ICTsupported unified process of international outsourcing could be executed and managed effectively. To address this research question, the results of an in-depth literature review in the areas of outsourcing, international outsourcing, information technology, and international software production is presented. This study proposes the information communication technologies' (ICT) - supported unified process model of international outsourcing of software production (SUPMIOSP). ICT-SUPMIOSP provides a detailed guideline on how to manage the entire process of international outsourcing by integrating a number of key issues such as relationship and risks management. Both theoretical and practical aspects of ICTSUPMIOSP are presented. At the theoretical level, the model can be used as a basis for further research, while at the practical level, it helps managers and other stakeholders to understand the multiple activities involved in offshore outsourcing, improve, systematize, and execute the ICT-SUPIOSP more effectively and efficiently.",2006,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4031306,Anicet Yalaho,"EDOCW '06: Proceedings of the 10th IEEE on International Enterprise Distributed Object Computing Conference Workshops , October 2006, Publisher: IEEE Computer Society",1,1,This study proposes the information communication technologies' (ICT) - supported unified process model of international outsourcing of software production (SUPMIOSP).,"At the theoretical level, the model can be used as a basis for further research, while at the practical level, it helps managers and other stakeholders to understand the multiple activities involved in offshore outsourcing, improve, systematize, and execute the ICT-SUPIOSP more effectively and efficiently.","To address this research question, the results of an in-depth literature review in the areas of outsourcing, international outsourcing, information technology, and international software production is presented."
1,A Quantitative Assessment of Requirements Engineering Publications ? 1963?2006,"<p>Requirements engineering research has been conducted for over 40 years. It is important to recognize the plethora of results accumulated to date to: (a) improve researchers' understanding of the historical roots of our field in the real-world and the problems that they are trying to solve, (b) expose researchers to the breadth and depth of solutions that have been proposed, (c) provide a synergistic basis for improving those solutions or building new ones to solve real-world problems facing the industry today, and d) increase practitioner awareness of available solutions. A detailed meta-analysis of the requirements engineering literature will provide an objective overview of the advances and current state of the discipline. This paper represents the first step in a planned multi-year analysis. It presents the results of a demographic analysis by date, type, outlet, author, and author affiliation for an existing database of over 4,000 requirements engineering publications.</p>",2007,http://dl.acm.org/citation.cfm?id=1768914&CFID=932216837&CFTOKEN=18963453,"Alan Davis  , Ann Hickey  , Oscar Dieste  , Natalia Juristo   and Ana Moreno","Book Series Lecture Notes in Computer Science, Volume 4542/2007, Book Requirements Engineering: Foundation for Software Quality, Pages 129-143, SpringerLink Date Thursday, June 28, 2007",1,1,"It is important to recognize the plethora of results accumulated to date to: (a) improve researchers' understanding of the historical roots of our field in the real-world and the problems that they are trying to solve, (b) expose researchers to the breadth and depth of solutions that have been proposed, (c) provide a synergistic basis for improving those solutions or building new ones to solve real-world problems facing the industry today, and d) increase practitioner awareness of available solutions.",nan,"It is important to recognize the plethora of results accumulated to date to: (a) improve researchers' understanding of the historical roots of our field in the real-world and the problems that they are trying to solve, (b) expose researchers to the breadth and depth of solutions that have been proposed, (c) provide a synergistic basis for improving those solutions or building new ones to solve real-world problems facing the industry today, and d) increase practitioner awareness of available solutions."
2,A survey and taxonomy of approaches for mining software repositories in the context of software evolution,"<p>A comprehensive literature survey on approaches for mining software repositories (MSR) in the context of software evolution is presented. In particular, this survey deals with those investigations that examine multiple versions of software artifacts or other temporal information. A taxonomy is derived from the analysis of this literature and presents the work via four dimensions: the type of software repositories mined (what), the purpose (why), the adopted/invented methodology used (how), and the evaluation method (quality). The taxonomy is demonstrated to be expressive (i.e., capable of representing a wide spectrum of MSR investigations) and effective (i.e., facilitates similarities and comparisons of MSR investigations). Lastly, a number of open research issues in MSR that require further investigation are identified.</p>",2007,http://dl.acm.org/citation.cfm?id=1345057&CFID=932209910&CFTOKEN=86972045,"Huzefa Kagdi, Michael L. Collard, Jonathan I. Maletic","Journal of Software Maintenance and Evolution: Research and Practice,   Volume 19 Issue 2, March 2007, Publisher: John Wiley & Sons, Inc.",1,1,"A taxonomy is derived from the analysis of this literature and presents the work via four dimensions: the type of software repositories mined (what), the purpose (why), the adopted/invented methodology used (how), and the evaluation method (quality).",<p>A comprehensive literature survey on approaches for mining software repositories (MSR) in the context of software evolution is presented.,nan
4,Challenges in Collaborative Modeling: A Literature Review,"Modeling is a key activity in conceptual design and system design. Users as well as stakeholders, experts and entrepreneurs need to be able to create shared understanding about a system representation. In this paper we conducted a literature review to provide an overview of studies in which collaborative modeling efforts have been conducted to give first insights in the challenges of collaborative modeling, specifically with respect to group composition, collaboration & participation methods, modeling methods and quality in collaborative modeling. We found a critical challenge in dealing with the lack of modeling skills, such as having a modeler to support the group, or create the model for the group versus training to empower participants to actively participate in the modeling effort, and another critical challenge in resolving conflicting (parts of) models and integration of submodels or models from different perspectives. The overview of challenges presented in this paper will inspire the design of methods and support systems that will ultimately advance the efficiency and effectiveness of collaborative modeling tasks.",2014,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6846871,"Michiel Renger, Gwendolyn L. Kolfschoten   and Gert-Jan de Vreede","Book Series Lecture Notes in Business Information Processing, Volume 10, Book Advances in Enterprise Engineering I, Pages 61-77, SpringerLink Date Tuesday, June 10, 2008",1,1,nan,"In this paper we conducted a literature review to provide an overview of studies in which collaborative modeling efforts have been conducted to give first insights in the challenges of collaborative modeling, specifically with respect to group composition, collaboration & participation methods, modeling methods and quality in collaborative modeling.",nan
5,Controversy Corner: A new research agenda for tool integration,"This article highlights tool integration within software engineering environments. Tool integration concerns the techniques used to form coalitions of tools that provide an environment supporting some, or all, activities within a software engineering process. These techniques have been used to create environments that attempt to address aspects of software development, with varying success. This article provides a timely analysis and review of many of the significant projects in the field and, combined with evidence collected from industry, concludes by proposing an empirical manifesto for future research, where we see the need for work to justify tool integration efforts in terms of relevant socio-economic indicators.",2007,http://dl.acm.org/citation.cfm?id=1282981&CFID=932224415&CFTOKEN=87204745,"M. N. Wicks, R. G. Dewar","Journal of Systems and Software,   Volume 80 Issue 9 , September 2007 , Publisher: Elsevier Science Inc.",1,1,"This article provides a timely analysis and review of many of the significant projects in the field and, combined with evidence collected from industry, concludes by proposing an empirical manifesto for future research, where we see the need for work to justify tool integration efforts in terms of relevant socio-economic indicators.","Tool integration concerns the techniques used to form coalitions of tools that provide an environment supporting some, or all, activities within a software engineering process.",nan
7,Developing Open Source Software: A Community-Based Analysis of Research,"Open source software (OSS) creates the potential for the inclusion of large and diverse communities in every aspect of the software development and consumption life cycle. However, despite 6 years of effort by an ever growing research community, we still donÃÂt know exactly what we do and donÃÂt know about OSS, nor do we have a clear idea about the basis for our knowledge. This paper presents an analysis of 155 research artefacts in the area of open source software. The purpose of the study is to identify the kinds of open source project communities that have been researched, the kinds of research questions that have been asked, and the methodologies used by researchers. Emerging from the study is a clearer understanding of what we do and donÃÂt know about open source software, and recommendations for future research efforts ",2015,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7449480,"Joseph Feller, Patrick Finnegan, David Kelly and Maurice MacNamara","Book Series IFIP International Federation for Information Processing, Volume 208/2006, Book Social Inclusion: Societal and Organizational Implications for Information Systems, Pages 261-278, SpringerLink Date Wednesday, September 13, 2006",1,1,"The purpose of the study is to identify the kinds of open source project communities that have been researched, the kinds of research questions that have been asked, and the methodologies used by researchers.","The purpose of the study is to identify the kinds of open source project communities that have been researched, the kinds of research questions that have been asked, and the methodologies used by researchers.",nan
13,In search of `architectural knowledge',"The software architecture community puts more and more emphasis on 'architectural knowledge'. However, there appears to be no commonly accepted definition of what architectural knowledge entails, which makes it a fuzzy concept. In order to obtain a better understanding of how different authors view 'architectural knowledge', we have conducted a systematic review to examine how architectural knowledge is defined and how the different definitions in use are related. From this review it became clear that many authors do not provide a concrete definition of what they think architectural knowledge entails. What is more intriguing, though, is that those who do give a definition seem to agree that architectural knowledge spans from problem domain through decision making to solution; an agreement that is not obvious from the definitions themselves, but which is only brought to light after careful systematic comparison of the different studies.",2010,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5659173,"Remco C. de Boer, Rik Farenhorst","SHARK '08: Proceedings of the 3rd international workshop on Sharing and reusing architectural knowledge, May 2008 , Publisher: ACM",1,1,nan,"In order to obtain a better understanding of how different authors view 'architectural knowledge', we have conducted a systematic review to examine how architectural knowledge is defined and how the different definitions in use are related.",nan
14,Measurement in software engineering: From the roadmap to the crossroads.,"Research on software measurement can be organized around five key conceptual and methodological issues: how to apply measurement theory to software, how to frame software metrics, how to develop metrics, how to collect core measures, and how to analyze measures. The subject is of special concern for the industry, which is interested in improving practices - mainly in developing countries, where the software industry represents an opportunity for growth and usually receives institutional support for matching international quality standards. Academics are also in need of understanding and developing more effective methods for managing the software process and assessing the success of products and services, as a result of an enhanced awareness about the emergency of aligning business processes and information systems. This paper unveils the fundamentals of measurement in software engineering and discusses current issues and foreseeable trends for the subject. A literature review was performed within major academic publications in the last decade, and findings suggest a sensible shift of measurement interests towards managing the software process as a whole - without losing from sight the customary focus on hard issues like algorithm efficiency and worker productivity",1997,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=585509,"C. G. P. Bellini, R. D. D. Pereira, and J. L. Becker.","International Journal of Software Engineering and Knowledge Engineering 18 (1):37-64, 2008.",1,1,"Research on software measurement can be organized around five key conceptual and methodological issues: how to apply measurement theory to software, how to frame software metrics, how to develop metrics, how to collect core measures, and how to analyze measures.","Academics are also in need of understanding and developing more effective methods for managing the software process and assessing the success of products and services, as a result of an enhanced awareness about the emergency of aligning business processes and information systems.","Academics are also in need of understanding and developing more effective methods for managing the software process and assessing the success of products and services, as a result of an enhanced awareness about the emergency of aligning business processes and information systems."
15,Mobile Systems Development: A Literature Review,"This article reviews 105 representative contributions to the literature on mobile systems development. The contributions are categorized according to a simple conceptual framework. The framework comprises four perspectives: the requirements perspective, the technology perspective, the application perspective, and the business perspective. Our literature review shows that mobile systems development is overlooked in the current debate. From the review, we extend the traditional view on systems development to encompass mobile systems and, based on the identified perspectives, we propose core characteristics for mobile systems. We also extend the traditional focus found in systems development on processes in a development project to encompass the whole of the development company as well as interorganizational linkage between development companies. Finally, we point at research directions emerging from the review that are relevant to the field of mobile systems development.",1989,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=198939,Jens Henrik Hosbond and Peter Axel Nielsen,"Book Series IFIP International Federation for Information Processing, Volume 185/2005, Book Designing Ubiquitous Information Environments: Socio-Technical Issues and Challenges, Pages 215-232, SpringerLink Date Thursday, February 09, 2006",1,1,"From the review, we extend the traditional view on systems development to encompass mobile systems and, based on the identified perspectives, we propose core characteristics for mobile systems.",nan,nan
16,"Quality, productivity and economic benefits of software reuse: a review of industrial studies","<p>Systematic software reuse is proposed to increase productivity and software quality and lead to economic benefits. Reports of successful software reuse programs in industry have been published. However, there has been little effort to organize the evidence systematically and appraise it. This review aims to assess the effects of software reuse in industrial contexts. Journals and major conferences between 1994 and 2005 were searched to find observational studies and experiments conducted in industry, returning eleven papers of observational type. Systematic software reuse is significantly related to lower problem (defect, fault or error) density in five studies and to decreased effort spent on correcting problems in three studies. The review found evidence for significant gains in apparent productivity in three studies. Other significant benefits of software reuse were reported in single studies or the results were inconsistent. Evidence from industry is sparse and combining results was done by vote-counting. Researchers should pay more attention to using comparable metrics, performing longitudinal studies, and explaining the results and impact on industry. For industry, evaluating reuse of COTS or OSS components, integrating reuse activities in software processes, better data collection and evaluating return on investment are major challenges.</p>",2007,http://dl.acm.org/citation.cfm?id=1290919&CFID=932217338&CFTOKEN=19657119,"Parastoo Mohagheghi, Reidar Conradi","Empirical Software Engineering,   Volume 12 Issue 5, October 2007, Empirical Software Engineering,   Volume 12 Issue 5, October 2007, Publisher: Kluwer Academic Publishers",1,1,<p>Systematic software reuse is proposed to increase productivity and software quality and lead to economic benefits.,"Researchers should pay more attention to using comparable metrics, performing longitudinal studies, and explaining the results and impact on industry.",Other significant benefits of software reuse were reported in single studies or the results were inconsistent.
