Index,Year,Title,Authors,Abstract,Topics,Predict,Relevant,Objective,Method,Result
0,2015,Analysis of key technologies in the Internet of things,"Wang, R; Wang, JG; Wang, N","It is known as the third wave of the information industry after the personal computer and the Internet technology. IOT is an important breakthrough in the new century. On the basis of analyzing the system structure and technical characteristics of the Internet of things, the key technology of the Internet of things is deeply studied. The radio frequency identification technology(RFID), sensor technology, network communication technology and cloud computing are analyzed in detail. Finally, it illustrates the wide application prospect of the Internet of things.",2,1,1,"On the basis of analyzing the system structure and technical characteristics of the Internet of things, the key technology of the Internet of things is deeply studied.The radio frequency identification technology(RFID), sensor technology, network communication technology and cloud computing are analyzed in detail.",,
1,2021,Recent Advances in the Internet-of-Medical-Things (IoMT) Systems Security,"Ghubaish, A; Salman, T; Zolanvari, M; Unal, D; Al-Ali, A; Jain, R","The rapid evolutions in microcomputing, mini-hardware manufacturing, and machine-to-machine (M2M) communications have enabled novel Internet-of-Things (IoT) solutions to reshape many networking applications. Healthcare systems are among these applications that have been revolutionized with IoT, introducing an IoT branch known as the Internet-of-Medical Things (IoMT) systems. IoMT systems allow remote monitoring of patients with chronic diseases. Thus, it can provide timely patients' diagnostic that can save their life in case of emergencies. However, security in these critical systems is a major challenge facing their wide utilization. In this article, we present state-of-the-art techniques to secure IoMT systems' data during collection, transmission, and storage. We comprehensively overview IoMT systems' potential attacks, including physical and network attacks. Our findings reveal that most security techniques do not consider various types of attacks. Hence, we propose a security framework that combines several security techniques. The framework covers IoMT security requirements and can mitigate most of its known attacks.",0,1,1,"Hence, we propose a security framework that combines several security techniques.",,
3,2017,Clustered Data Collection for Internet of Batteryless Things,"Ju, QA; Zhang, Y","Empowered by energy harvesting technology, Internet of Batteryless Things (IoBT) is considered to be a promising solution for the lifetime constraint of Internet of Things. The varying ambient energy source makes it nontrivial for multiple IoBT nodes to work collaboratively and achieve high-throughput data collection. In this paper, we propose a novel clustered data collection framework for IoBT networks, combining cluster head (CH) selection and lexicographic rate assignment. Using the remaining energy level of the energy storage device as the energy budget, the proposed framework assigns a lexicographic optimal rate vector that enables each IoBT node to fully utilize the scavenged energy and at the same time achieve high and fair data collection rate. Two CH selection schemes are developed. One is optimal CH selection by traversing all the possible CH candidates in the cluster. The other is an approximation search based on the inherent energy consumption features of the lexicographic optimal rate assignment. The real world energy harvesting profile is used to validate the effectiveness of the proposed methodology. Compared with the existing strategies, the proposed framework achieves higher throughput over all range of the data aggregation ratio. The simulation results also demonstrate that the approximation-based CH selection scheme has similar data collection rate performance as that of the optimal CH selection scheme at a much lower computational cost.",1,1,1,"In this paper, we propose a novel clustered data collection framework for IoBT networks, combining cluster head (CH) selection and lexicographic rate assignment.Using the remaining energy level of the energy storage device as the energy budget, the proposed framework assigns a lexicographic optimal rate vector that enables each IoBT node to fully utilize the scavenged energy and at the same time achieve high and fair data collection rate.The real world energy harvesting profile is used to validate the effectiveness of the proposed methodology.Compared with the existing strategies, the proposed framework achieves higher throughput over all range of the data aggregation ratio.","Using the remaining energy level of the energy storage device as the energy budget, the proposed framework assigns a lexicographic optimal rate vector that enables each IoBT node to fully utilize the scavenged energy and at the same time achieve high and fair data collection rate.The real world energy harvesting profile is used to validate the effectiveness of the proposed methodology.",The simulation results also demonstrate that the approximation-based CH selection scheme has similar data collection rate performance as that of the optimal CH selection scheme at a much lower computational cost.
7,2019,Knowledge Design in the Internet of Things: Blockchain and Connected Refrigerator,"Szoniecky, S; Toumia, A","The Internet of Things takes place in our daily life, but many users do not understand their relationships and interactions with these objects. We assume that dynamic and interactive representations of the power of action of users and objects are means to better understand what these devices are capable of. To do this, we design a secure and privacy-conscious design of knowledge in the connected object environment. We will analyze the example of a connected refrigerator to understand how to use the Blockchain to develop Digital Social Innovations.",0,1,1,We will analyze the example of a connected refrigerator to understand how to use the Blockchain to develop Digital Social Innovations.,We will analyze the example of a connected refrigerator to understand how to use the Blockchain to develop Digital Social Innovations.,
9,2018,Computer Vision and Internet of Things: Attention System in Educational Context,"Savov, T; Terzieva, V; Todorova, K","In the contemporary education system, many information and communication technologies (ICT) and their applications already are an essential requisite. The value that they add to the traditional pedagogical practice makes it more engaging, flexible and efficient. Internet of things (IoT) as well as various multimedia and smart technologies enables implementation of more enhanced teaching approaches not only at universities but also at some innovative school classrooms. This research discusses a case study of the integration of computer vision (CV) and IoTs in the education and in particular, how they can support the learning process by making students more engaged. E'iii-ther, this work presents some of the use -eases where the technology gadgets that shape smart learning environment completely benefit both the teaching-leaming process itself and its managing.",0,1,1,,"Internet of things (IoT) as well as various multimedia and smart technologies enables implementation of more enhanced teaching approaches not only at universities but also at some innovative school classrooms.E'iii-ther, this work presents some of the use -eases where the technology gadgets that shape smart learning environment completely benefit both the teaching-leaming process itself and its managing.",
12,2021,A Brief Review on Internet of Things (IoT),"Gannavaram, VTK; Kandhikonda, UM; Bejgam, R; Keshipeddi, SB; Sunkari, S","Internet of Things (IoT) is the most familiar technology to the modern society that has actually transformed the physical objects into smart things that are enhanced with capabilities like sensing, decision making and computing. The physical world is assisted by the digital world entirely connected to the global network infrastructure, starting the day with smart alarms and ending the day with smart beds. In today's world the modern humans are now more connected to the non-living objects, because Internet has been a common platform for human beings to interact and now, Internet is being a common thing for the physical objects also. With IoT, the tasks to be performed by humans are being made simpler, made humans go at an ease, navigation and assistance is now at the finger tips. Things in the human world are getting automated in a vast manner, extending from industries to homes, workplaces, classrooms, transport systems, medical fields and many. In this paper, a thorough study is presented on the emerging technology i.e. IoT, addressing how the devices are being the tiny building blocks of large applications, scope of IoT enabled applications, advantages, disadvantages, automation process, then and now era of IoT.",3,1,1,,,
14,2016,Searching the Social Internet of Things by Exploiting Object Similarity,"Nitti, M; Pilloni, V; Giusto, DD","One of the major issues of Internet of Things (IoT) is discovering which objects are able to execute specific services and provide the required data for applications to be correctly accomplished. In recent years, the Social IoT (SIoT) paradigm, where objects establish social-like relationships, has become popular as it presents several interesting features to improve network navigability and implement efficient discovery methods. This is due to the intrinsic capability of a SIoT network to come to a solution for a query and quickly reach the required object with a small number of hops, using object friendships. In this paper, a SIoT-based object discovery mechanism is proposed. The novelty of this algorithm is that the next hop to query is chosen based on two properties: one that is intrinsic to the network and is based on object friendships, and an external one that takes into account the similarity between the object and the query. Simulation results prove that a correct balance between the two introduced properties is needed and that the proposed algorithm is able to efficiently solve queries, independently of their popularity and complexity.",1,1,1,"In this paper, a SIoT-based object discovery mechanism is proposed.Simulation results prove that a correct balance between the two introduced properties is needed and that the proposed algorithm is able to efficiently solve queries, independently of their popularity and complexity.","In recent years, the Social IoT (SIoT) paradigm, where objects establish social-like relationships, has become popular as it presents several interesting features to improve network navigability and implement efficient discovery methods.This is due to the intrinsic capability of a SIoT network to come to a solution for a query and quickly reach the required object with a small number of hops, using object friendships.","Simulation results prove that a correct balance between the two introduced properties is needed and that the proposed algorithm is able to efficiently solve queries, independently of their popularity and complexity."
15,2016,Smart World of Internet of Things (IoT) and It's Security Concerns,"Talwana, JC; Hua, HJ","Due to increasing number of internet users, popularity of Broadband Internet also increasing. Hence the connection cost should be decrease due to Wi Fi connectivity and built-in sensors in devices as well the maximum number of devices should be connected through a common medium. To meet all these requirements, the technology so called Internet of Things is evolved. Internet of Things (IoT) can be considered as a connection of computing devices like smart phones, coffee maker, washing machines, wearable device with an internet. IoT create network and connect things and people together by creating relationship between either people-people, people-things or things-things. As the number of device connection is increased, it increases the Security risk. Security is the biggest issue for IoT at any companies across the globe. Furthermore, privacy and data sharing can again be considered as a security concern for IoT. Companies, those who use IoT technique, need to find a way to store, track, analyze and make sense of the large amounts of data that will be generated. Few security techniques of IoT are necessary to implement to protect your confidential and important data as well for device protection through some internet security threats.",0,1,1,"Furthermore, privacy and data sharing can again be considered as a security concern for IoT. Companies, those who use IoT technique, need to find a way to store, track, analyze and make sense of the large amounts of data that will be generated.","Furthermore, privacy and data sharing can again be considered as a security concern for IoT. Companies, those who use IoT technique, need to find a way to store, track, analyze and make sense of the large amounts of data that will be generated.",
17,2018,Authentication Protocol for Securing Internet of Things,"Maarof, A; Senhadji, M; Labbi, Z; Belkasmi, M","The Internet of things (IoT) is become an important research topic because it integrates various sensors and objects to communicate directly with one another object without human intervention. Today, Internet of Things has so many applications in our daily life like home automation, healthcare, smart grid, smart car etc.. The requirements for the large-scale deployment of the IoT, it leads to many security concerns like how to secure these devices, data and communication from unauthorized access. As IoT uses minimal capacity things and wireless technology for communication which makes it more vulnerable. In this paper we discuss a mutual authentication scheme proposed by Kalra and Sood in 2015, and then we show their weaknesses and propose an improved scheme",0,1,1,"In this paper we discuss a mutual authentication scheme proposed by Kalra and Sood in 2015, and then we show their weaknesses and propose an improved schemeIn this paper we discuss a mutual authentication scheme proposed by Kalra and Sood in 2015, and then we show their weaknesses and propose an improved scheme",As IoT uses minimal capacity things and wireless technology for communication which makes it more vulnerable.,
18,2015,Internet of Things Context-Aware Privacy Architecture,"Rachid, S; Challal, Y; Nadjia, B","The Internet of Things (IoT) is a rapidly growing technology in recent years. It represents an extension of the Internet into the physical world embracing everyday objects. In consequence, users' privacy and security are becoming a great challenge. To cope with this issue, sophisticated approaches are needed to guarantee these services and hence ensure a large-scale adoption of IoT. In our work we present an approach to model and describe the architecture of internet of things, in which user privacy and security are ensured while taking into consideration the dynamic context in which evolve users, their experience and preferences with respect to security and privacy.",0,1,1,,"To cope with this issue, sophisticated approaches are needed to guarantee these services and hence ensure a large-scale adoption of IoT.In our work we present an approach to model and describe the architecture of internet of things, in which user privacy and security are ensured while taking into consideration the dynamic context in which evolve users, their experience and preferences with respect to security and privacy.",
