Index,Year,Title,Authors,Abstract,Topics
0,2021.0,Conceptual Modeling Interacts with Machine Learning - A Systematic Literature Review,"Zaidi, MA","Due to the advancement in the digital world, society's expectation towards Machine Learning is very high, especially in Conceptual Modeling. However, the relationship between Machine Learning and Conceptual models are very interesting. Literature in this field has identified the relationship and interaction between Machine Learning and Conceptual Models. However, to the best of our knowledge, there is not a Systematic Literature Review devoted to studying in deep the interaction of these two fields. In this paper, the authors conduct a Systematic Literature Review to get to know how Machine Learning is used in Conceptual Modeling. Results show the deep connection of Machine Learning with Conceptual Models in a solid way, as well as providing challenges and opportunities for future research.",4
1,2021.0,Convergence of Gamification and Machine Learning: A Systematic Literature Review,"Khakpour, A; Colomo-Palacios, R","Recent developments in human-computer interaction technologies raised the attention towards gamification techniques, that can be defined as using game elements in a non-gaming context. Furthermore, advancement in machine learning (ML) methods and its potential to enhance other technologies, resulted in the inception of a new era where ML and gamification are combined. This new direction thrilled us to conduct a systematic literature review in order to investigate the current literature in the field, to explore the convergence of these two technologies, highlighting their influence on one another, and the reported benefits and challenges. The results of the study reflect the various usage of this confluence, mainly in, learning and educational activities, personalizing gamification to the users, behavioral change efforts, adapting the gamification context and optimizing the gamification tasks. Adding to that, data collection for machine learning by gamification technology and teaching machine learning with the help of gamification were identified. Finally, we point out their benefits and challenges towards streamlining future research endeavors.",4
2,2019.0,Sofware engneering challenges for machine learning applications: A literature review,"Kumeno, F","Machine learning techniques, especially deep learning, have achieved remarkable breakthroughs over the past decade. At present, machine learning applications are deployed in many fields. However, the outcomes of software engineering researches are not always easily utilized in the development and deployment of machine learning applications. The main reason for this difficulty is the many differences between machine learning applications and traditional information systems. Machine learning techniques are evolving rapidly, but face inherent technical and non-technical challenges that complicate their lifecycle activities. This review paper attempts to clarify the software engineering challenges for machine learning applications that either exist or potentially exist by conducting a systematic literature collection and by mapping the identified challenge topics to knowledge areas defined by the Software Engineering Body of Knowledge (Swebok).",4
3,2017.0,Systematic Literature Review on Software Effort Estimation Using Machine Learning Approaches,"Sharma, P; Singh, J","Accurate effort estimation is amongst the key activities in the software project development. It directly impacts the time and cost of the software projects. This paper presents a systematic literature review of software effort estimation techniques using machine learning. This review presents a discussion about the research trends in machine learning inspired software effort estimation. The results of the systematic review has concluded prominent trends of machine learning approaches, size metrics, benchmark datasets, validation methods etc. used for software effort estimation.",4
4,2021.0,Hand gesture recognition using machine learning and infrared information: a systematic literature review,"Nogales, RE; Benalcazar, ME","Currently, gesture recognition is like a problem of feature extraction and pattern recognition, in which a movement is labeling as belonging to a given class. A gesture recognition system's response could solve different problems in various fields, such as medicine, robotics, sign language, human-computer interfaces, virtual reality, augmented reality, and security. In this context, this work proposes a systematic literature review of hand gesture recognition based on infrared information and machine learning algorithms. This systematic literature review is an extended version of the work presented at the 2019 ICSE conference. To develop this systematic literature review, we used the Kitchenham methodology. This systematic literature review retrieves information about the models' architectures, the implemented techniques in each module, the type of learning used (supervised, unsupervised, semi-supervised, and reinforcement learning), and recognition accuracy classification, and the processing time. Also, it will identify literature gaps for future research.",0
5,2020.0,Machine learning applications in production lines: A systematic literature review,"Kang, ZQ; Catal, C; Tekinerdogan, B","A production line is a set of sequential operations established in a factory where materials are put through a refining process to produce an end-product that is suitable for further usage. Monitoring production lines is essential to ensure that the targeted quality of the production process and the products are achieved. With the increased digitalization, lots of data can now be generated in the overall production line process. In parallel, the generated data sets are used by machine learning techniques for analytics of the production line to improve quality control, evaluate risks, and save cost. This paper aims to identify, assess, and synthesize the reported studies related to the application of machine learning in production lines, to provide a systematic overview of the current state-of-the-art and, as such, paving the way for further research. To this end, we have performed a Systematic Literature Review (SLR) in which we retrieved 271 papers, of which 39 primary studies were selected for a detailed analysis. This SLR presents and categorizes the production line problems addressed by machine learning, identifies the targeted industrial domains, discusses which machine learning algorithms have been used, and explains the adopted independent and dependent variables of the models. The study highlights the open problems that need to be solved and provides the identified research directions.",1
6,2019.0,Literature review: Machine learning techniques applied to financial market prediction,"Henrique, BM; Sobreiro, VA; Kimura, H","The search for models to predict the prices of financial markets is still a highly researched topic, despite major related challenges. The prices of financial assets are non-linear, dynamic, and chaotic; thus, they are financial time series that are difficult to predict. Among the latest techniques, machine learning models are some of the most researched, given their capabilities for recognizing complex patterns in various applications. With the high productivity in the machine learning area applied to the prediction of financial market prices, objective methods are required for a consistent analysis of the most relevant bibliography on the subject. This article proposes the use of bibliographic survey techniques that highlight the most important texts for an area of research. Specifically, these techniques are applied to the literature about machine learning for predicting financial market values, resulting in a bibliographical review of the most important studies about this topic. Fifty-seven texts were reviewed, and a classification was proposed for markets, assets, methods, and variables. Among the main results, of particular note is the greater number of studies that use data from the North American market The most commonly used models for prediction involve support vector machines (SVMs) and neural networks. It was concluded that the research theme is still relevant and that the use of data from developing markets is a research opportunity. (C) 2019 Elsevier Ltd. All rights reserved.",1
7,2020.0,Crop yield prediction using machine learning: A systematic literature review,"van Klompenburg, T; Kassahun, A; Catal, C","Machine learning is an important decision support tool for crop yield prediction, including supporting decisions on what crops to grow and what to do during the growing season of the crops. Several machine learning algorithms have been applied to support crop yield prediction research. In this study, we performed a Systematic Literature Review (SLR) to extract and synthesize the algorithms and features that have been used in crop yield prediction studies. Based on our search criteria, we retrieved 567 relevant studies from six electronic databases, of which we have selected 50 studies for further analysis using inclusion and exclusion criteria. We investigated these selected studies carefully, analyzed the methods and features used, and provided suggestions for further research. According to our analysis, the most used features are temperature, rainfall, and soil type, and the most applied algorithm is Artificial Neural Networks in these models. After this observation based on the analysis of machine learning-based 50 papers, we performed an additional search in electronic databases to identify deep learning-based studies, reached 30 deep learning-based papers, and extracted the applied deep learning algorithms. According to this additional analysis, Convolutional Neural Networks (CNN) is the most widely used deep learning algorithm in these studies, and the other widely used deep learning algorithms are Long-Short Term Memory (LSTM) and Deep Neural Networks (DNN).",4
8,2020.0,The Application of Machine Learning in Self-Adaptive Systems: A Systematic Literature Review,"Saputri, TRD; Lee, SW","Context: Self-adaptive systems have been studied in software engineering over the past few decades attempting to address challenges within the field. There is a continuous significant need to fully understand the behavior and characteristics of the systems that operate in dynamic environments. By learning the behavior pattern of the environment, we can avoid unnecessary adaptations imbalance efforts for adaptation. As such, there exist research in the area of machine learning aimed at understanding dynamic environments regarding self-adaptive systems. Objective: This study aims to help software practitioners to address adaptation concerns by performing a systematic literature review that provides a comprehensive overview of using machine learning (ML) in self-adaptive systems. We summarize state-of-the-art Of the ML approaches used to handle self-adaptation to help software engineers in the proper selection of ML techniques based on the adaptation concern. Method: This review examines research published between 2001 and 2019 on ML implementation in self-adaptive systems, focusing on the adaptation aspects and purposes. The review was conducted by analyzing major scientific databases that resulted in 78 primary studies from 315 papers from an automatic search. Result: Finally, this study recommends three future research directions to enhance the application of machine learning in self-adaptive systems.",4
9,2019.0,Machine learning techniques for code smell detection: A systematic literature review and meta-analysis,"Azeem, MI; Palomba, F; Shi, L; Wang, Q","Background: Code smells indicate suboptimal design or implementation choices in the source code that often lead it to be more change- and fault-prone. Researchers defined dozens of code smell detectors, which exploit different sources of information to support developers when diagnosing design flaws. Despite their good accuracy, previous work pointed out three important limitations that might preclude the use of code smell detectors in practice: (i) subjectiveness of developers with respect to code smells detected by such tools, (ii) scarce agreement between different detectors, and (iii) difficulties in finding good thresholds to be used for detection. To overcome these limitations, the use of machine learning techniques represents an ever increasing research area. Objective: While the research community carefully studied the methodologies applied by researchers when defining heuristic-based code smell detectors, there is still a noticeable lack of knowledge on how machine learning approaches have been adopted for code smell detection and whether there are points of improvement to allow a better detection of code smells. Our goal is to provide an overview and discuss the usage of machine learning approaches in the field of code smells. Method: This paper presents a Systematic Literature Review (SLR) on Machine Learning Techniques for Code Smell Detection. Our work considers papers published between 2000 and 2017. Starting from an initial set of 2456 papers, we found that 15 of them actually adopted machine learning approaches. We studied them under four different perspectives: (i) code smells considered, (ii) setup of machine learning approaches, (iii) design of the evaluation strategies, and (iv) a meta-analysis on the performance achieved by the models proposed so far. Results: The analyses performed show that God Class, Long Method, Functional Decomposition, and Spaghetti Code have been heavily considered in the literature. DECISION TREES and SUPPORT VECTOR MACHINES are the most commonly used machine learning algorithms for code smell detection. Models based on a large set of independent variables have performed well. JRIP and RANDOM FOREST are the most effective classifiers in terms of performance. The analyses also reveal the existence of several open issues and challenges that the research community should focus on in the future. Conclusion: Based on our findings, we argue that there is still room for the improvement of machine learning techniques in the context of code smell detection. The open issues emerged in this study can represent the input for researchers interested in developing more powerful techniques.",1
